858,A. Henderson Elementary
1502,A.G. Richardson Elementary
1529,A.M. Davis Elementary
285,A.P. Hill Elementary
605,A.S. Rhodes Elementary
396,A.W.E. Bassette Elementary
600,Abb's Valley-Boissevain Elementary
418,Aberdeen Elementary
1239,Abingdon Elementary
1743,Abingdon Elementary
576,Abingdon Elementary
571,Abingdon High
7405,Academy for Discovery at Lakewood
2139,Accawmacke Elementary
3310,Achievable Dream Academy
3311,Achievable Dream Middle/High
1238,Achilles Elementary
1042,Acquinton Elementary
156,Addison Aerospace Magnet Middle
4291,Admiral Richard E. Byrd Middle
1797,Agnor-Hurt Elementary
90,Alanton Elementary
6878,Albemarle County Community Public Charter School
1751,Albemarle High
5274,Albert Harris Elementary
231,Albert Hill Middle
1935,Alberta Smith Elementary
1027,Aldie Elementary
1944,Aldrin Elementary
422,Alfred S. Forrest Elementary
1019,Algonkian Elementary
2682,Alleghany High
1601,Altavista Elementary
1596,Altavista High
1762,Amelia County Elementary
1760,Amelia County High
1761,Amelia County Middle
219,Amelia Street Special Education
1773,Amelon Elementary
1770,Amherst County High
1749,Amherst Elementary
1768,Amherst Middle
661,Andrew G. Wright Middle
1826,Andrew Lewis Middle
1432,Annandale High
1347,Annandale Terrace Elementary
621,Anne E. Moncure Elementary
6026,Anthony Burns Elementary
1128,Anthony P. Mehfoud Elementary
795,Antietam Elementary
584,Appalachia Elementary
1265,Apple Pie Ridge Elementary
1727,Appomattox County High
1724,Appomattox Elementary
1725,Appomattox Middle
1726,Appomattox Primary
1783,Arcadia High
3998,Arcadia Middle
1489,Archer Elementary
6206,Arcola Elementary
3417,Arlington Community High
1995,Arlington Science Focus School
1701,Arlington Traditional
1219,Armel Elementary
441,Armstrong Elementary
1362,Armstrong Elementary
178,Armstrong High
86,Arrowhead Elementary
1972,Arthur Ashe Jr. Elementary
125,Arthur R. Ware Elementary
1021,Ashburn Elementary
670,Ashby Lee Elementary
3164,Ashland Elementary
1703,Ashlawn Elementary
673,Atkins Elementary
1189,Atlee High
2130,Auburn Elementary
983,Auburn High
3903,Auburn Middle
2184,Auburn Middle
7136,Axton Elementary
317,Azalea Gardens Middle
319,B.C. Charles Elementary
1800,B.M. Williams Primary
391,B.T. Washington Middle
777,Back Creek Elementary
1592,Bacon District Elementary
1530,Bailey Bridge Middle
1423,Bailey's Elementary School for the Arts and Sciences
7556,Bailey's Upper Elementary School for the Arts and Sciences
3078,Baker-Butler Elem
1840,Baldwin Elementary
1988,Ball's Bluff Elementary
1028,Banneker Elementary
1733,Barcroft Elementary
1740,Barrett Elementary
428,Barron Elementary
1241,Bass-Hoover Elementary
1103,Bassett High
1675,Bath County High
665,Battlefield Elementary
4008,Battlefield High
645,Battlefield Middle
1145,Battlefield Park Elementary
338,Bay View Elementary
7375,Bayside 6th Grade Campus
109,Bayside Elementary
84,Bayside High
52,Bayside Middle
1205,Baywood Elementary
1185,Beaverdam Elementary
1682,Bedford Elementary
371,Bedford Hills Elementary
1683,Bedford Middle
1694,Bedford Primary
1334,Beech Tree Elementary
836,Bel Air Elementary
732,Belfast Elk Garden Elementary
1168,Belfield Elementary
226,Belle Heth Elementary
1424,Belle View Elementary
238,Bellevue Elementary
1533,Bellwood Elementary
829,Belmont Elementary
3817,Belmont Ridge Middle
3991,Belmont Station Elementary
1439,Belvedere Elementary
986,Belview Elementary
1753,Benjamin F. Yancey Elementary
1254,Benjamin Franklin Middle-East
1253,Benjamin Franklin Middle-West
429,Benjamin Syms Middle
2068,Bennett Elementary
1568,Bensley Elementary
650,Berkeley Elementary
33,Berkeley Glenn Elementary
38,Berkeley Middle
126,Bessie Weller Elementary
2110,Bethel Elementary
438,Bethel High
518,Bethel Manor Elementary
1943,Bettie Weaver Elementary
1549,Beulah Elementary
1713,Beverley Manor Elementary
1714,Beverley Manor Middle
1678,Big Island Elementary
232,Binford Middle
102,Birdneck Elementary
945,Blacksburg High
987,Blacksburg Middle
927,Blackstone Primary
240,Blackwell Elementary
324,Blair Middle
7378,Bland County Elementary
7379,Bland County High
894,Blue Ridge Elementary
992,Blue Ridge Middle
970,Bluestone  High
969,Bluestone Middle
1594,Bon Air Elementary
1311,Bonnie Brae Elementary
2172,Bonsack Elementary
393,Booker Elementary
281,Booker T Washington High
130,Booker T. Washington Elementary
1263,Boones Mill Elementary
1679,Boonsboro Elementary
1236,Botetourt Elementary
1614,Bowling Green Elementary
1544,Boyce Elementary
1371,Braddock Elementary
61,Brandon Middle
1659,Breckinridge Elementary
152,Breckinridge Middle
1410,Bren Mar Park Elementary
821,Brentsville District High
4293,Briar Woods High
4005,Brighton Elementary
2149,Bristow Run Elementary
181,Broad Rock Elementary
1036,Broad Run High
1794,Broadus Wood Elementary
718,Broadway High
657,Brock Road Elementary
1914,Brooke Point High
1340,Brookfield Elementary
1132,Brookland Middle
7127,Brookneal Elementary
1608,Brookville High
1644,Brookville Middle
94,Brookwood Elementary
3996,Brosville Elementary
1757,Brownsville Elementary
1665,Brunswick High
561,Bruton High
1926,Bryant Alternative High
1656,Buchanan Elementary
7226,Buckingham Co Elementary
7227,Buckingham Co Primary
1640,Buckingham County High
1641,Buckingham County Middle
5380,Buckland Mills Elementary
1437,Bucknell Elementary
1718,Buffalo Gap High
7138,Buffalo Trail Elementary
469,Buford Middle
2170,Bull Run Elementary
3163,Bull Run Middle
924,Burkeville Elementary
771,Burlington Elementary
466,Burnley-Moran Elementary
1261,Burnt Chimney Elementary
1434,Bush Hill Elementary
1820,Butts Road Intermediate
1813,Butts Road Primary
1193,Byrd Elementary
440,C. Alton Lindsay Middle
1276,C. Hunter Ritchie Elementary
831,C.A. Sinclair Elementary
1571,C.C. Wells Elementary
840,C.D. Hylton High
1520,C.E. Curtis Elementary
1285,C.M. Bradley Elementary
2679,Callaghan Elementary
1255,Callaway Elementary
1304,Camelot Elementary
10,Camelot Elementary
1428,Cameron Elementary
326,Camp Allen Elementary
1110,Campbell Court Elementary
3160,Campbell Elementary
1319,Canterbury Woods Elementary
686,Capron Elementary
417,Captain John Smith Elementary
1331,Cardinal Forest Elementary
7364,Cardinal Ridge Elementary
1730,Carlin Springs Elementary
1612,Caroline High
1611,Caroline Middle
1582,Carroll County High
1618,Carroll County Middle
1928,Carrollton Elementary
1079,Carrsville Elementary
2144,Carson Middle
407,Carter G. Woodson Middle
2111,Carver College and Career Academy
361,Carver Elementary
1567,Carver Middle
1250,Carysbrook Elementary
1161,Cashell Donahoe Elementary
1706,Cassell Elementary
735,Castlewood Elementary
734,Castlewood High
1033,Catoctin Elementary
786,Cave Spring Elementary
779,Cave Spring High
790,Cave Spring Middle
639,Cedar Bluff Elementary
6538,Cedar Forest Elementary
2178,Cedar Lane Elementary
1277,Cedar Lee Middle
2667,Cedar Point Elementary
2076,Cedar Road Elementary
100,Centerville Elementary
1662,Central Academy Middle
7236,Central Elementary
1772,Central Elementary
752,Central Elementary
1086,Central High
666,Central High
544,Central High
1003,Central High
1589,Central Middle
1270,Centre Ridge Elementary
1946,Centreville Elementary
1448,Centreville High
1140,Chamberlayne Elementary
644,Chancellor Elementary
654,Chancellor High
655,Chancellor Middle
1492,Chantilly High
492,Charles Barrett Elementary
1583,Charles City County Elementary
1584,Charles City County High
7426,Charles J. Colgan, Sr. High
1135,Charles M. Johnson Elementary
472,Charlottesville High
1013,Chase City Elementary
902,Chatham Elementary
915,Chatham High
910,Chatham Middle
1288,Check Elementary
1418,Cherry Run Elementary
1488,Chesterbrook Elementary
337,Chesterfield Academy Elementary
1188,Chickahominy Middle
681,Chilhowie Elementary
674,Chilhowie High
2074,Chilhowie Middle
177,Chimborazo Elementary
1777,Chincoteague Elementary
1786,Chincoteague High
7410,Chris Yung Elementary
943,Christiansburg Elementary
946,Christiansburg High
984,Christiansburg Middle
947,Christiansburg Primary
437,Christopher C. Kraft Elementary
2113,Christopher Farms Elementary
1367,Churchill Road Elementary
262,Churchland Academy Elementary
265,Churchland Elementary
263,Churchland High
261,Churchland Middle
248,Churchland Primary &amp; Intermediate
1711,Churchville Elementary
36,Clara Byrd Baker Elementary
3846,Claremont Immersion
490,Clark Elementary
1542,Clarke County High
972,Clarksville Elementary
1274,Claude Thompson Elementary
1184,Clays Mill Elementary
776,Clearbrook Elementary
1451,Clearview Elementary
1298,Clermont Elementary
2684,Clifton Middle
1511,Clintwood Elementary
1551,Clover Hill Elementary
1540,Clover Hill High
1660,Cloverdale Elementary
6459,Cluster Springs Elementary
7065,Coates Elementary
588,Coeburn Middle
565,Coeburn Primary
1190,Cold Harbor Elementary
302,Coleman Place Elementary
835,Coles Elementary
54,College Park Elementary
1089,Collinsville Primary
3171,Colonial Beach Elementary
3170,Colonial Beach High
1661,Colonial Elementary
2166,Colonial Forge High
475,Colonial Heights High
473,Colonial Heights Middle
6207,Colonial Trail Elementary
1360,Columbia Elementary
3624,Colvin Run Elementary
1621,Concord Elementary
4524,Conway Elementary
2107,Cool Spring Elementary
1020,Cool Spring Elementary
3560,Cool Spring Primary
1382,Cooper Middle
580,Cople Elementary
737,Copper Creek Elementary
494,Cora Kelly Magnet Elementary
1924,Corporate Landing Elementary
2105,Corporate Landing Middle
6098,Cosby High
2670,Cougar Elementary
1624,Council Elementary/Middle
1635,Council High
3820,Countryside Elementary
1963,Courthouse Road Elementary
642,Courtland Elementary
640,Courtland High
514,Coventry Elementary
479,Covington High
266,Cradock Middle
1499,Craig County High
1715,Craigsville Elementary
106,Creeds Elementary
5273,Creekside Elementary
6659,Creighton's Corner Elementary
1123,Crestview Elementary
1524,Crestwood Elementary
1402,Crestwood Elementary
1805,Crestwood Intermediate
21,Crestwood Middle
926,Crewe Primary
1993,Crittenden Middle
800,Critzer Elementary
1313,Crossfield Elementary
303,Crossroads School
1774,Crozet Elementary
192,Crystal Spring Elementary
1320,Cub Run Elementary
6838,Cub Run Elementary
1506,Culpeper County High
1501,Culpeper Middle
1507,Cumberland Elementary
1509,Cumberland High
1510,Cumberland Middle
1332,Cunningham Park Elementary
1497,D.G. Cooley Elementary
40,D.J. Montague Elementary
830,Dale City Elementary
612,Damascus Middle
911,Dan River High
906,Dan River Middle
47,Daniel Morgan Middle
2210,Daniels Run Elementary
516,Dare Elementary
387,David A. Dutrow Elementary
885,David A. Harrison Elementary
7317,David A. Kaechele Elementary
411,Dearington Elementary/Innovation
1802,Deep Creek Central Elementary
18,Deep Creek Elementary
11,Deep Creek High
24,Deep Creek Middle
3154,Deep Run High
2117,Deer Park Elementary
1945,Deer Park Elementary
350,Denbigh High
6298,Diamond Springs Elementary
1474,Dinwiddie County High
1473,Dinwiddie County Middle
1472,Dinwiddie Elementary
7402,Discovery Elementary
7315,Discovery Elementary
368,Discovery STEM Academy
1449,Dogwood Elementary
3816,Dominion High
2118,Dominion Trail Elementary
5294,Donald B. Dixon-Lyle R. Smith Middle
491,Douglas Macarthur Elementary
1124,Douglas S. Freeman High
249,Douglass Park Elementary
1312,Dranesville Elementary
1737,Drew Model Elementary
1109,Drewry Mason Elementary
132,Driver Elementary
1047,Dryden Elementary
810,Dublin Elementary
809,Dublin Middle
1252,Dudley Elementary
635,Dudley Primary
701,Duffield-Pattonsville Primary
1101,Dumbarton Elementary
856,Dumfries Elementary
694,Dungannon Intermediate
403,Dupont Elementary
606,E. Wilson Morrison Elementary
578,E.B. Stanley Middle
369,E.C. Glass High
841,E.H. Marsteller Middle
183,E.S.H. Greene Elementary
2656,Eagle Ridge Middle
1657,Eagle Rock Elementary
5272,Eagle View Elementary
7019,East Rockingham High
1828,East Salem Elementary
1228,Eastern Elementary/Middle
7112,Eastern Montgomery Elementary
2218,Eastern Montgomery High
6441,Eastern View High
589,Eastside High
2187,Echo Lake Elementary
1545,Ecoff Elementary
478,Edgemont Primary
1390,Edison High
658,Edward E. Drew Jr. Middle
1992,Edward G. Clymore Elementary
1215,Edward W. Wyatt Middle
7322,Edwin A. Gibson Elementary
1801,Edwin W. Chittum Elementary
134,Elephant's Fork Elementary
182,Elizabeth D. Redd Elementary
6599,Elizabeth Davis Middle
1099,Elizabeth Holladay Elementary
6438,Elizabeth Scott Elementary
826,Elizabeth Vaughan Elementary
1051,Elk Knob Elementary
7416,Elkhardt Thompson Middle
6208,Elko Middle
759,Elkton Elementary
720,Elkton Middle
1150,Elmont Elementary
1771,Elon Elementary
1058,Elydale Elementary
2114,Emerald Hill Elementary
1035,Emerick Elementary
508,Enderly Heights Elementary
1564,Enon Elementary
848,Enterprise Elementary
1515,Ervinton Elementary
1476,Essex High
1477,Essex Intermediate
320,Ethel M. Gildersleeve Middle
1560,Ettrick Elementary
1587,Eureka Elementary
5314,Evendale Elementary
1557,Evergreen Elementary
2138,Evergreen Mill Elementary
511,F.W. Kling Jr. Elementary
1115,Fair Oaks Elementary
1446,Fairfax County Adult High
1479,Fairfax High
1358,Fairfax Villa Elementary
214,Fairfield Court Elementary
60,Fairfield Elementary
747,Fairfield Elementary
1133,Fairfield Middle
1323,Fairhill Elementary
316,Fairlawn Elementary
1454,Fairview Elementary
1206,Fairview Elementary
168,Fairview Elementary
982,Falling Branch Elementary
1526,Falling Creek Elementary
1534,Falling Creek Middle
194,Fallon Park Elementary
1372,Falls Church High
623,Falmouth Elementary
1577,Fancy Gap Elementary
6883,Fannie W. Fitzgerald Elementary
1505,Farmington Elementary
1987,Farmwell Station Middle
1282,Fauquier High
863,Featherstone Elementary
1262,Ferrum Elementary
619,Ferry Farm Elementary
1111,Fieldale-Collinsville Middle
92,First Colonial High
165,Fishburn Park Elementary
6918,Flat Rock Elementary
1055,Flatwoods Elementary
1442,Flint Hill Elementary
1394,Floris Elementary
1242,Floyd County High
1289,Floyd Elementary
75,Floyd Kellam High
3077,Floyd T. Binns Middle
1245,Fluvanna County High
1243,Fluvanna Middle
1485,Forest Edge Elementary
1684,Forest Elementary
144,Forest Glen Middle
3165,Forest Grove Elementary
481,Forest Hills Elementary
1695,Forest Middle
2226,Forest Park High
1356,Forestdale Elementary
1461,Forestville Elementary
2146,Fort Belvoir Elementary
7555,Fort Belvoir Upper School
695,Fort Blackmore Primary
558,Fort Chiswell High
3072,Fort Chiswell Middle
1719,Fort Defiance High
1303,Fort Hunt Elementary
768,Fort Lewis Elementary
1463,Fox Mill Elementary
3819,Frances Hazel Reid Elementary
462,Francis Asbury Elementary
7396,Francis C. Hammond Middle
1732,Francis Scott Key Elementary
1457,Franconia Elementary
147,Frank W. Cox High
1260,Franklin County High
4,Franklin High
1467,Franklin Middle
210,Franklin Military Academy
820,Fred M. Lynn Middle
1225,Frederick County Middle
7164,Frederick Douglass Elementary
48,Frederick Douglass Elementary
4010,Freedom High
4292,Freedom High
1419,Freedom Hill Elementary
3838,Freedom Middle
6498,Fries School
1352,Frost Middle
722,Fulks Run Elementary
1807,G.A. Treakle Elementary
184,G.H. Reid Elementary
442,G.L.H. Johnson Elementary
1825,G.W. Carver Elementary
1108,G.W. Carver Elementary
1221,Gainesboro Elementary
6238,Gainesville Middle
458,Galax Elementary
460,Galax High
461,Galax Middle
3075,Galileo Magnet High
838,Gar-Field High
157,Garden City Elementary
1429,Garfield Elementary
45,Garland R. Quarles Elementary
662,Garrisonville Elementary
702,Gate City High
703,Gate City Middle
1164,Gayton Elementary
3845,General Stanford Elementary
1836,George Carr Round Elementary
1129,George F. Baker Elementary
832,George G. Tyler Elementary
1122,George H. Moody Middle
388,George J. McIntosh Elementary
833,George M. Hampton Middle
220,George Mason Elementary
538,George Mason Elementary
452,George Mason High
796,George P. Mullen Elementary
7109,George P. Phenix Elementary
197,George W. Carver Elementary
8,George W. Carver Intermediate
960,George W. Watkins Elementary
444,George Washington High
7395,George Washington Middle
554,George Wythe High
217,George Wythe High
1816,Georgetown Primary
1951,Georgie D. Tyler Middle
2104,Gereau Center for Applied Technology &amp; Career Exploration
327,Ghent K-8
944,Gilbert Linkous Elementary
1232,Giles High
243,Ginter Park Elementary
736,Givens Elementary
1257,Glade Hill Elementary
577,Glade Spring Middle
1574,Gladesboro Elementary
1580,Gladeville Elementary
1380,Glasgow Middle
1731,Glebe Elementary
1154,Glen Allen Elementary
7096,Glen Allen High
743,Glen Cove Elementary
1413,Glen Forest Elementary
1121,Glen Lea Elementary
4945,Glenkirk Elementary
781,Glenvar Elementary
789,Glenvar High
2081,Glenvar Middle
68,Glenwood Elementary
1240,Gloucester High
1197,Goochland Elementary
1194,Goochland High
1196,Goochland Middle
2208,Goodview Elementary
933,Gordon-Barbour Elementary
1837,Grace E. Metz Middle
1275,Grace Miller Elementary
515,Grafton Bethel Elementary
2069,Grafton High
2070,Grafton Middle
622,Grafton Village Elementary
597,Graham High
598,Graham Intermediate
632,Graham Middle
819,Graham Park Middle
1422,Graham Road Elementary
341,Granby Elementary
340,Granby High
158,Grandin Court Elementary
1552,Grange Hall Elementary
3813,Grassfield Elementary
6202,Grassfield High
1202,Grayson County High
7070,Grayson Highlands School
13,Great Bridge High
1819,Great Bridge Intermediate
22,Great Bridge Middle
1804,Great Bridge Primary
1425,Great Falls Elementary
99,Great Neck Middle
7319,Green Run Collegiate
59,Green Run Elementary
145,Green Run High
788,Green Valley Elementary
1295,Greenbriar East Elementary
1359,Greenbriar West Elementary
468,Greenbrier Elementary
1821,Greenbrier Intermediate
2228,Greenbrier Middle
15,Greenbrier Primary
590,Greendale Elementary
2231,Greenfield Elementary
1547,Greenfield Elementary
1191,Greensville County High
2156,Greensville Elementary
6881,Greenville Elementary
4001,Greenwood Elementary
7078,Greenwood Mill Elementary
899,Gretna Elementary
913,Gretna High
900,Gretna Middle
1459,Groveton Elementary
1634,Grundy High
1034,Guilford Elementary
1436,Gunston Elementary
1961,Gunston Middle
2171,Guy K. Stump Elementary
1994,H.H. Poole Middle
1287,H.M. Pearson Elementary
1169,Halifax County High
1176,Halifax County Middle
1999,Halley Elementary
1023,Hamilton Elementary
1041,Hamilton Holmes Middle
424,Hampton High
625,Hampton Oaks Elementary
3605,Hanover High
893,Hardin Reynolds Elementary
978,Harding Avenue Elementary
1080,Hardy Elementary
7142,Harmony Middle
1125,Harold Macon Ratcliffe Elementary
2177,Harper Park Middle
1822,Harrington Waddell Elementary
2671,Harrison Road Elementary
398,Harrisonburg High
1570,Harrowgate Elementary
409,Harry E. James Elementary
620,Hartwood Elementary
6939,Harvie Elementary
1395,Haycock Elementary
1335,Hayfield Elementary
1317,Hayfield Secondary
7374,Haymarket Elementary School
204,Henderson Middle
1091,Henrico High
1142,Henry Clay Elementary
1996,Henry D. Ward Elementary
1251,Henry Elementary
1734,Henry Elementary
860,Herbert J. Saunders Middle
379,Heritage Elementary
2065,Heritage High
413,Heritage High
3169,Heritage High
785,Herman L. Horn Elementary
85,Hermitage Elementary
1097,Hermitage High
1388,Herndon Elementary
1480,Herndon High
1481,Herndon Middle
20,Hickory Elementary
2075,Hickory High
19,Hickory Middle
3083,Hidden Valley High
791,Hidden Valley Middle
365,Hidenwood Elementary
575,High Point Elementary
1073,Highland Elementary
1074,Highland High
150,Highland Park Elementary
1094,Highland Springs Elementary
1165,Highland Springs High
503,Highland View Elementary
2112,Hilda J. Barbour Elementary
6638,Hillpoint Elementary
7430,Hillsboro Charter Academy
2137,Hillside Elementary
1576,Hillsville Elementary
699,Hilton Elementary
356,Hilton Elementary
222,Hodges Manor Elementary
2198,Hoffman-Boston Elementary
91,Holland Elementary
1345,Hollin Meadows Elementary
1789,Hollymead Elementary
7095,Holman Middle
1361,Holmes Middle
574,Holston High
321,Homer L. Hines Middle
716,Honaker Elementary
731,Honaker High
408,Hopewell High
1546,Hopkins Road Elementary
343,Horace H. Epes Elementary
2179,Horizon Elementary
1688,Huddleston Elementary
456,Hugh Mercer Elementary
1460,Hughes Middle
2109,Hugo A. Owens Middle
186,Huguenot High
4000,Hungary Creek Middle
1299,Hunt Valley Elementary
7108,Hunter B. Andrews
1306,Hunters Woods Elementary School for the Arts and Sciences
389,Huntington Middle
1625,Hurley Elementary/Middle
1636,Hurley High
169,Hurt Park Elementary
1309,Hutchison Elementary
3166,Hutchison Farm Elementary
1353,Hybla Valley Elementary
253,I.C. Norcom High
1203,Independence Elementary
1198,Independence Middle
56,Independence Middle
1218,Indian Hollow Elementary
62,Indian Lakes Elementary
1817,Indian River High
1806,Indian River Middle
1266,Indian Valley Elementary
306,Ingleside Elementary
1375,Irving Middle
3625,Island Creek Elementary
7106,J. Blaine Blayton Elementary
724,J. Frank Hillyard Middle
1061,J. Lupton Simpson Middle
7151,J. Michael Lunsford Middle
1523,J.A. Chalkley Elementary
188,J.B. Fisher Elementary
1532,J.B. Watkins Elementary
290,J.E.B. Stuart Elementary
200,J.E.B. Stuart Elementary
884,J.E.J. Moore Middle
1521,J.G. Hening Elementary
283,J.I. Burton High
189,J.L. Francis Elementary
1647,J.M. Bevins Elementary
386,J.M. Dozier Middle
586,J.W. Adams Combined
3783,J.W. Alvey Elementary
6239,JM Langston Focus
1759,Jack Jouett Middle
1092,Jackson Davis Elementary
555,Jackson Memorial Elementary
1433,Jackson Middle
1793,Jackson P. Burley Middle
471,Jackson-Via Elementary
1096,Jacob L. Adams Elementary
1565,Jacobs Road Elementary
342,Jacox Elementary
